TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp7_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp
1000,67,171,134,136,343,624,334,1809,756,160,257,122,217,0,61,51,32,146,283,118,691
1010,230,714,530,498,925,2413,1362,6672,2410,376,837,420,777,289,148,318,51,507,578,281,2172
1020,19,66,45,94,136,385,163,908,363,101,120,53,89,199,22,285,6,26,263,147,948
1030,32,141,126,120,211,464,267,1361,458,102,155,73,128,0,0,0,5,96,4,46,151
1040,150,361,270,289,529,1222,737,3558,1269,208,439,219,403,144,88,62,22,258,39,82,695
1050,192,572,550,790,1170,2423,1589,7286,2588,587,875,410,716,120,226,75,26,465,87,206,1205
1060,206,472,370,527,982,1805,1075,5437,1881,294,653,328,606,317,98,153,32,379,246,356,1581
1070,216,560,407,449,808,1601,1006,5047,1847,377,630,302,538,0,69,0,6,216,73,878,1242
1080,67,176,184,205,322,758,733,2445,853,195,289,134,235,18,28,0,5,98,60,442,651
1090,51,187,163,168,527,1276,2089,4461,2707,1396,814,249,248,173,449,108,309,899,626,459,3023
1100,95,303,247,351,813,1395,2076,5280,3130,1612,942,288,288,593,1177,168,3344,1609,1204,980,9075
1110,76,148,126,226,551,515,258,1900,890,192,302,143,253,171,60,5,38,141,149,191,755
1150,53,121,75,95,259,550,243,1396,526,77,236,77,136,18,16,11,21,143,23,80,312
1200,297,564,384,509,1491,1690,526,5461,2284,650,729,389,516,27,215,106,332,262,281,528,1751
1210,11,33,22,36,104,133,41,380,146,44,47,24,31,1038,235,684,1187,1695,716,202,5757
1220,315,468,339,608,2195,2084,1167,7176,3485,1378,1132,477,498,94,240,49,368,258,647,565,2221
1230,229,271,201,362,1295,1252,421,4031,1787,673,578,255,281,55,17,0,25,56,106,602,861
1240,186,191,138,359,1868,1597,913,5252,2997,1527,990,307,173,253,2246,424,350,1362,914,759,6308
1250,333,305,224,747,3332,2671,1608,9220,5495,2792,1816,566,321,82,719,110,485,882,649,1696,4623
1260,466,805,515,648,2114,2302,919,7769,2906,706,921,531,748,223,0,0,14,303,55,401,996
1270,258,348,226,370,1271,1301,737,4511,1746,551,560,281,354,82,43,19,4,150,173,2418,2889
1280,325,422,225,469,2100,1722,574,5837,2698,971,871,398,458,409,33,757,135,313,64,138,1849
1290,56,77,51,50,262,265,140,901,337,66,106,66,99,475,93,264,505,950,815,63,3165
1500,121,226,144,182,515,659,468,2315,888,158,276,162,292,0,175,21,249,263,121,174,1003
1510,228,444,341,533,1421,1922,1085,5974,2553,742,821,410,580,61,277,79,565,379,284,135,1780
1520,82,162,88,123,398,541,339,1733,786,187,249,134,216,1155,330,1108,357,1343,401,168,4862
1530,128,314,257,373,547,1140,494,3253,1006,142,310,191,363,108,63,81,13,218,622,126,1231
1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,170,449,349,474,761,1469,847,4519,1568,261,486,290,531,0,45,0,6,172,183,301,707
1560,274,624,415,517,1038,1720,898,5486,1875,265,577,356,677,73,43,0,31,196,7,191,541
1570,279,577,414,577,1236,1971,1156,6210,2254,385,700,415,754,0,182,0,138,286,187,744,1537
1580,215,427,312,471,901,1639,747,4712,1670,262,516,313,579,103,0,0,21,259,47,89,519
1590,333,610,456,647,1710,1974,1109,6839,2571,574,811,447,739,0,214,38,198,232,127,693,1502
1600,418,897,683,790,1974,2717,886,8365,2786,421,860,524,981,145,87,31,62,156,53,458,992
1610,378,741,566,640,1571,2224,1421,7541,2858,683,906,488,781,67,164,26,488,134,286,450,1615
1620,118,211,157,202,624,902,599,2813,1171,228,366,210,367,252,36,34,13,21,163,348,867
1630,36,58,49,80,153,305,105,786,422,60,130,80,152,18,0,0,2,43,55,8,126
1640,154,291,174,221,761,795,208,2604,1090,280,347,182,281,0,0,0,16,115,165,788,1084
1650,72,98,47,115,309,322,101,1064,398,80,125,71,122,873,105,1018,421,461,213,160,3251
1660,301,658,549,621,1257,2129,804,6319,2149,359,667,397,726,188,0,0,8,297,106,142,741
1670,36,62,45,48,168,268,400,1027,569,186,185,87,111,91,18,0,205,143,211,115,783
1680,440,1042,658,738,1695,2893,827,8293,2594,466,807,473,848,130,149,59,71,474,282,272,1437
1690,97,150,136,195,492,425,318,1813,587,159,188,96,144,792,22,301,72,276,148,531,2142
1700,198,372,278,388,1124,1402,549,4311,1729,474,553,283,419,90,36,0,25,182,6,85,424
1710,116,287,233,287,633,993,438,2987,1065,179,330,197,359,64,76,0,45,57,272,71,585
1900,181,379,210,217,687,1318,548,3540,2746,636,1070,375,665,191,55,62,160,397,434,217,1516
1910,6,6,5,8,19,20,7,71,27,2,4,3,18,9,0,0,0,6,1,3,19
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,5,11,8,27,42,24,11,128,48,4,8,5,31,44,0,0,6,0,5,0,55
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,162,408,78,808
2010,112,81,79,261,2229,1578,675,5015,3773,1985,1219,333,236,116,143,144,51,329,330,31,1144
2020,68,49,22,123,1105,1133,838,3338,1995,1053,645,175,122,0,88,40,102,44,371,258,903
2030,113,111,64,304,1056,788,261,2697,1638,859,529,145,105,180,149,138,63,894,635,74,2133
2040,148,150,78,589,2470,1599,769,5803,4088,2144,1320,362,262,72,159,154,463,971,1222,561,3602
2050,81,122,51,331,1533,878,496,3492,2068,1070,666,188,144,14,109,33,351,129,705,215,1556
2060,91,86,28,487,2398,1342,579,5011,3106,1637,1004,273,192,0,433,0,40,127,514,0,1114
2070,158,104,86,977,3396,1547,761,7029,4998,2629,1615,441,313,35,52,54,471,382,763,1084,2841
2080,127,95,38,575,2496,1101,367,4799,2799,1468,904,248,179,60,67,0,301,657,978,3821,5884
2090,146,134,76,924,4375,2480,858,8993,6163,3232,1990,547,394,27,197,57,193,684,728,179,2065
2100,92,134,69,190,809,630,161,2085,1176,577,375,117,107,221,534,524,27,1299,474,769,3848
2110,11,16,11,27,106,101,30,302,119,63,39,10,7,721,1327,404,139,2445,900,1640,7576
2120,0,0,0,42,108,40,0,190,119,63,39,10,7,1139,2757,1041,134,4540,457,1345,11413
2130,179,134,105,722,2718,1278,370,5506,2428,1270,784,216,158,758,3765,1163,900,5653,2524,966,15729
2140,0,0,0,1,1,2,1,5,2,0,1,0,1,430,1701,556,118,2240,1459,815,7319
2150,0,0,0,9,30,43,8,90,60,32,19,5,4,722,6265,1043,1150,8087,2669,1253,21189
2160,20,15,9,275,712,223,73,1327,827,436,267,73,51,119,1193,171,1277,3283,1854,2991,10888
2170,1,1,0,15,40,12,4,73,22,4,6,4,8,1186,1209,480,218,3769,3048,895,10805
2180,7,14,0,195,478,351,156,1201,356,188,115,31,22,427,1345,209,756,2874,765,1000,7376
2190,116,55,25,533,2397,734,126,3986,2059,1081,665,182,131,374,214,227,1091,1386,2371,569,6232
2200,0,0,0,54,269,83,0,406,184,97,60,16,11,118,75,2255,23,1073,815,1712,6071
2210,173,70,74,410,2051,828,167,3773,1391,732,449,123,87,472,563,186,253,1940,2354,549,6317
2220,40,49,18,108,1091,1019,223,2548,2086,1096,673,185,132,166,118,50,242,1399,928,803,3706
