c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:34
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gy01   6389.25
    all   gy02  14263.82
    all   gy03  23423.42
    all   gy04  77801.52
    all   gy05  44169.83
    all   gy06  24331.84
    all   gy07  24322.18
    all   gy08  4479.037
    all   gy09  41275.93
    all   gy10  8514.876
    all   gy11  11178.05
    all   gy12  12008.69
    all   gy13  6391.244
    all   gy14  30037.35
a matrix=md25  HhMdIn   0.0 Household Medium Income                 
    all   gy01  5184.728
    all   gy02  16818.17
    all   gy03  17135.44
    all   gy04  65873.01
    all   gy05  41276.79
    all   gy06  29054.01
    all   gy07  23314.68
    all   gy08  6096.485
    all   gy09  55635.45
    all   gy10  13485.07
    all   gy11  12606.27
    all   gy12  19166.99
    all   gy13  6868.059
    all   gy14  32103.26
a matrix=md31    aWkL   0.0 AttracWkL                               
    all   gy01  2460.038
    all   gy02  8433.988
    all   gy03  31029.12
    all   gy04   47061.7
    all   gy05  30341.59
    all   gy06   12356.5
    all   gy07  27469.86
    all   gy08  7086.073
    all   gy09   24244.8
    all   gy10  5718.042
    all   gy11  4343.247
    all   gy12  10267.61
    all   gy13  2530.101
    all   gy14  17924.94
a matrix=md32    aWkM   0.0 AttracWkM                               
    all   gy01   7724.48
    all   gy02  32585.77
    all   gy03  121709.8
    all   gy04  157117.5
    all   gy05  109964.8
    all   gy06  41664.91
    all   gy07  76231.41
    all   gy08  27991.71
    all   gy09  91732.51
    all   gy10  16737.56
    all   gy11   15454.8
    all   gy12  46631.78
    all   gy13   8089.18
    all   gy14   61398.6
a matrix=md33    aWkH   0.0 AttracWkH                               
    all   gy01  6572.625
    all   gy02  27664.87
    all   gy03  111172.3
    all   gy04  112663.9
    all   gy05  88015.77
    all   gy06  29314.59
    all   gy07  54101.31
    all   gy08  19738.74
    all   gy09  60768.71
    all   gy10  12357.74
    all   gy11   9042.18
    all   gy12  27272.93
    all   gy13  4257.141
    all   gy14  31718.54
a matrix=md34     aNw   0.0 AttracNw                                
    all   gy01  10498.48
    all   gy02  30655.55
    all   gy03  66381.34
    all   gy04  130466.2
    all   gy05  77715.26
    all   gy06  36706.48
    all   gy07  50830.29
    all   gy08  11916.48
    all   gy09  62388.88
    all   gy10  13853.69
    all   gy11  13176.67
    all   gy12  34049.62
    all   gy13  5503.973
    all   gy14  51035.32
a matrix=md35     aUv   0.0 AttracUv                                
    all   gy01  621.0102
    all   gy02  10117.65
    all   gy03  13493.57
    all   gy04  79353.34
    all   gy05  66056.77
    all   gy06  4553.462
    all   gy07  6824.793
    all   gy08  1046.626
    all   gy09  19425.08
    all   gy10  348.8068
    all   gy11  710.1433
    all   gy12  7078.694
    all   gy13  591.4692
    all   gy14  17274.17
a matrix=md36     aSc   0.0 AttracSc                                
    all   gy01  15311.13
    all   gy02  30527.81
    all   gy03  3033.675
    all   gy04    112645
    all   gy05  56744.46
    all   gy06  56890.55
    all   gy07  42897.98
    all   gy08  12326.02
    all   gy09  128763.2
    all   gy10  21144.64
    all   gy11  22682.21
    all   gy12  35402.61
    all   gy13     13689
    all   gy14  64429.99
a matrix=md37     aSh   0.0 AttracSh                                
    all   gy01  13395.66
    all   gy02  32205.51
    all   gy03  35936.29
    all   gy04  116331.7
    all   gy05  88997.68
    all   gy06  46716.93
    all   gy07  51450.06
    all   gy08  9151.708
    all   gy09  78556.07
    all   gy10  21211.01
    all   gy11  16279.56
    all   gy12  43459.13
    all   gy13  8332.642
    all   gy14  63580.21
a matrix=md38     aPB   0.0 AttracPB                                
    all   gy01  7345.402
    all   gy02  26393.43
    all   gy03  33977.83
    all   gy04    100173
    all   gy05  52310.79
    all   gy06  29111.78
    all   gy07  30591.71
    all   gy08  8504.217
    all   gy09  57014.95
    all   gy10   15778.3
    all   gy11  16512.78
    all   gy12  27626.54
    all   gy13  9345.785
    all   gy14  47334.13
a matrix=md39     aSo   0.0 AttracSo                                
    all   gy01  27364.62
    all   gy02  52623.02
    all   gy03  86189.95
    all   gy04  192242.6
    all   gy05  96485.36
    all   gy06  68894.21
    all   gy07  78356.92
    all   gy08  22180.73
    all   gy09  113446.7
    all   gy10  38172.99
    all   gy11   31043.1
    all   gy12   61100.3
    all   gy13  15885.73
    all   gy14   90451.2
a matrix=md40     aEc   0.0 AttracEc                                
    all   gy01  14775.18
    all   gy02  39306.43
    all   gy03  16602.25
    all   gy04  133035.3
    all   gy05  77609.82
    all   gy06  63478.68
    all   gy07  63315.69
    all   gy08  13180.22
    all   gy09  116890.5
    all   gy10  28378.01
    all   gy11  28641.97
    all   gy12   41402.6
    all   gy13   13617.6
    all   gy14  70474.22
a matrix=md41     aNo   0.0 AttracNo                                
    all   gy01  19021.92
    all   gy02  43864.46
    all   gy03  47963.22
    all   gy04  158985.4
    all   gy05  90235.23
    all   gy06  64774.89
    all   gy07   67495.2
    all   gy08  15616.34
    all   gy09  104399.7
    all   gy10  35072.08
    all   gy11  31526.24
    all   gy12  58630.38
    all   gy13     12784
    all   gy14  93977.24
a matrix=md42   aWkLf   0.0 FactoredAttracWkL                       
    all   gy01  2467.815
    all   gy02  8460.648
    all   gy03  31127.21
    all   gy04  47210.46
    all   gy05  30437.49
    all   gy06  12395.56
    all   gy07  27556.69
    all   gy08  7108.471
    all   gy09  24321.44
    all   gy10  5736.117
    all   gy11  4356.975
    all   gy12  10300.07
    all   gy13  2538.099
    all   gy14   17981.6
a matrix=md43   aWkMf   0.0 FactoredAttracWkM                       
    all   gy01  7748.828
    all   gy02  32688.48
    all   gy03  122093.4
    all   gy04  157612.8
    all   gy05  110311.4
    all   gy06  41796.24
    all   gy07  76471.69
    all   gy08  28079.94
    all   gy09  92021.65
    all   gy10  16790.31
    all   gy11  15503.52
    all   gy12  46778.76
    all   gy13  8114.677
    all   gy14  61592.13
a matrix=md44   aWkHf   0.0 FactoredAttracWkH                       
    all   gy01  6603.812
    all   gy02  27796.14
    all   gy03  111699.8
    all   gy04  113198.5
    all   gy05  88433.41
    all   gy06  29453.69
    all   gy07  54358.03
    all   gy08   19832.4
    all   gy09  61057.05
    all   gy10  12416.38
    all   gy11  9085.085
    all   gy12  27402.34
    all   gy13  4277.341
    all   gy14  31869.04
a matrix=md45    aNwf   0.0 FactoredAttracNw                        
    all   gy01  10567.92
    all   gy02  30858.31
    all   gy03  66820.39
    all   gy04  131329.1
    all   gy05  78229.27
    all   gy06  36949.26
    all   gy07  51166.48
    all   gy08   11995.3
    all   gy09  62801.52
    all   gy10  13945.32
    all   gy11  13263.82
