c Emme Modeller - Matrix Transaction
c Date: 2015-02-27 15:45:32
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   1000  196.6101
    all   1010  652.3744
    all   1020  98.09789
    all   1030  119.8819
    all   1040  345.1693
    all   1050  731.9255
    all   1060  473.1633
    all   1070  478.2216
    all   1080  241.6093
    all   1090  899.5094
    all   1100  1039.772
    all   1110  232.0072
    all   1150  137.0621
    all   1200  579.4974
    all   1210  37.62406
    all   1220  970.4518
    all   1230  490.0223
    all   1240  910.7907
    all   1250  1668.401
    all   1260  710.2238
    all   1270  455.0709
    all   1280  729.8312
    all   1290  78.80573
    all   1500  203.1661
    all   1510  651.2319
    all   1520  190.8471
    all   1530  221.6629
    all   1550  354.6139
    all   1560  413.1073
    all   1570  512.1083
    all   1580  373.9787
    all   1590  615.5359
    all   1600  620.1965
    all   1610  694.7459
    all   1620  272.5261
    all   1630  93.07235
    all   1640   269.451
    all   1650  93.26569
    all   1660  486.4154
    all   1670  149.9486
    all   1680  594.5905
    all   1690  147.0566
    all   1700  434.3427
    all   1710  241.2364
    all   1900  737.9208
    all   1910  5.926085
    all   1930  11.53431
    all   2010  1390.406
    all   2020  735.7066
    all   2030  603.2367
    all   2040  1505.515
    all   2050  759.3727
    all   2060  1145.067
    all   2070  1841.794
    all   2080  1030.817
    all   2090  2269.595
    all   2100  427.0552
    all   2110  43.96282
    all   2120  43.96282
    all   2130  893.6913
    all   2140  .6321098
    all   2150  22.15646
    all   2160  304.8663
    all   2170  6.962706
    all   2180   131.301
    all   2190  758.4532
    all   2200  67.87834
    all   2210  512.5907
    all   2220  1423.617
    all   2230  250.4075
    all   2240  234.1178
    all   2250  335.0887
    all   2260  1253.086
    all   2270  624.1966
    all   2280  328.9583
    all   2290  833.6151
    all   2300  751.9602
    all   2310  1582.336
    all   2320  186.6134
    all   2330  1124.398
    all   2900  78.78288
    all   2910  277.3569
    all   2920  1162.176
    all   3000  655.7809
    all   3010  961.9114
    all   3020  855.9917
    all   3030  805.0419
    all   3040  714.6996
    all   3050  1609.447
    all   3060  964.2596
    all   3070  1110.205
    all   3080  316.6017
    all   3090   1083.49
    all   3100  908.0156
    all   3110  467.1023
    all   3120    721.63
    all   3130  805.7546
    all   3140  563.9482
    all   3150  383.7007
    all   3160  305.5191
    all   3170  2208.319
    all   3180  252.9634
    all   3190  913.7408
    all   3200  1346.421
    all   3210  732.8545
    all   3220  574.7067
    all   3230  510.5051
    all   3240   395.168
    all   3250  420.5247
    all   3260  448.0186
    all   3270  555.6844
    all   3280  208.4248
    all   3290  180.2101
    all   3300  348.4069
    all   3310  1042.298
    all   3320  297.6327
    all   3330  599.8073
    all   3340  994.9071
    all   3350  773.5112
    all   3360  137.8298
    all   3370  647.7238
    all   3380  487.5344
    all   3390  1021.442
    all   3400  999.4205
    all   3410  386.8955
    all   3420  207.5155
    all   3430  1678.904
    all   3440  1958.358
    all   3450   299.804
    all   3460  2054.576
    all   3470  1413.146
    all   3480   1036.56
    all   3490  1351.167
    all   3500  927.8523
    all   3510  902.9025
    all   3520  1058.795
    all   3530  1124.836
    all   3540  130.5961
    all   3550  839.0534
    all   3560  452.9751
    all   3570  795.0881
    all   3580  707.6851
    all   3590  1055.649
    all   3600  942.0412
    all   3610  665.5541
    all   3620   895.708
    all   3630  735.4561
    all   3640  1230.329
    all   3650  1208.269
    all   3660  859.0797
    all   3670  795.0427
    all   3680  528.8726
    all   3690  369.7358
    all   3700  853.0846
    all   3710  598.2103
    all   3720  800.5173
    all   3730  484.0134
    all   3740  761.7857
    all   3750  779.0217
    all   3760  93.85832
    all   3770  602.1244
    all   3780   85.7381
    all   3790  613.7468
    all   3800  943.9882
    all   3810  1635.927
    all   3820  637.3621
    all   3830  1002.298
    all   3840  785.7272
    all   3850   1141.12
    all   3870  740.1921
    all   3880  924.8107
    all   3890  849.6971
    all   3900  1085.328
    all   3910  683.1124
    all   3920   350.941
    all   3930  874.6717
    all   3940  432.0113
    all   3950  525.5317
    all   3960  581.3547
    all   3970   833.143
    all   3980  499.4738
    all   3990  140.8175
    all   4000  1232.085
    all   4010  1112.471
    all   4020  547.2999
    all   4030  392.0921
    all   4040  1061.885
    all   4050  226.7137
    all   4060  705.9293
    all   4070  623.4395
    all   4080  190.8379
    all   4090  851.3635
    all   4100  386.5593
    all   4110  846.1613
    all   4120  840.1188
    all   4130  290.5862
    all   4140  426.4745
    all   4150  585.8231
    all   4170  461.5399
    all   4180  311.1649
    all   4190  306.6193
    all   4200  730.3334
    all   4210   474.872
    all   4220  390.9449
    all   4230  1458.843
    all   4240  1889.053
    all   4250  210.8972
    all   4260  657.3683
    all   4270  426.2262
    all   4280  397.8178
    all   4290  355.8895
    all   4300  232.3618
    all   4310  383.8858
    all   4320  632.0645
    all   4330  926.7969
    all   4340  194.6801
    all   4350  548.1063
    all   4360  699.6633
    all   4370  520.3392
    all   4380  500.2594
    all   4390  1068.524
    all   4400  947.5425
    all   4410  41.59749
    all   4420  73.76051
    all   4430  212.4579
    all   4440  223.4871
    all   4450  458.0506
    all   4460  522.0448
    all   4470  2102.375
    all   4480  3.900658
    all   4490  724.5065
    all   4500  580.6743
    all   4510  897.3781
    all   4520  308.4159
    all   4530  404.9146
    all   4540  129.7131
    all   4550    1166.2
    all   4560  893.3361
    all   4700  195.0076
    all   4710  742.7281
    all   4720  533.6685
    all   4730  240.8465
    all   4740  1112.476
    all   4750  1758.447
    all   4760  2014.669
    all   4770  414.8585
    all   4780  532.1453
    all   4790  352.3044
    all   4800   414.209
    all   4810   463.589
    all   4820    772.52
    all   4830  825.1044
    all   4840  8.813961
    all   5000  87.53095
    all   5010  171.1209
    all   5030  10.47981
    all   5040   440.853
    all   5050  446.6918
    all   5060  826.3082
    all   5070  874.8063
    all   5080  1312.954
    all   5100  308.0629
    all   5110  442.5655
    all   5120  895.0421
    all   5130  62.20653
    all   5140  750.4536
    all   5150  205.8853
    all   5160  526.2569
    all   5170  585.5149
    all   5180   983.012
    all   5190   2.50863
    all   5200  .5532666
    all   5210  .7789950
    all   5220  413.2591
    all   5230   485.436
    all   5240  92.92657
    all   5250  701.7592
    all   5260  607.9177
    all   5270  496.3611
    all   5280  200.4441
    all   5290  361.4023
    all   5300  58.56677
    all   5310  121.5065
    all   5320  572.9429
    all   5330  498.0194
    all   5340  579.6725
    all   5350  918.6241
    all   5360  191.2391
    all   5370  560.4598
    all   5380  523.4362
    all   5390  724.4158
    all   5400  452.3851
    all   5410  162.5081
    all   5420  221.2786
    all   5430  25.08302
    all   5440  81.14116
    all   5450  14.78651
    all   5460  20.43713
    all   5500  289.1456
    all   5510  150.6334
    all   5520  497.6684
    all   5530  1356.954
    all   5550  182.6946
    all   5560  411.6465
    all   5570  333.1584
    all   5590  699.6733
    all   5600  401.9375
    all   5610   566.265
    all   5620  266.5946
    all   5630  277.3329
    all   5640  695.9883
    all   5650  182.5516
    all   5700   48.5934
    all   5710  770.5817
    all   5720   80.5172
    all   5730  1229.877
    all   5740  34.26686
    all   5800  1083.115
    all   5810  601.7631
    all   5820  608.3698
    all   5830  719.6029
    all   5840  1083.522
    all   5850  675.3251
    all   5860  915.3523
    all   5870  68.82554
    all   5880  204.3641
    all   5890  778.0071
    all   5900  167.2031
    all   5910  946.4568
    all   5920  671.3472
    all   5930  177.8059
    all   5940  152.9973
    all   5950  82.38062
    all   5960   77.7811
    all   6000  2.644173
    all   6020   96.7024
    all   6030   1.26087
    all   6040  905.0046
    all   6050    554.92
    all   6060  809.6093
    all   6070  631.5943
    all   6080  700.1125
    all   6090  503.2003
    all   6100  806.3765
    all   6110  631.5352
    all   6120  731.8775
    all   6130  565.6885
    all   6140  597.7385
    all   6150   549.194
    all   6160  885.1392
    all   6170  6.229805
    all   6180  378.5204
    all   6190  72.56132
    all   6200  310.5781
    all   6210  495.1711
    all   6220  1248.754
    all   6230  1526.491
    all   6240  486.2495
    all   6250  319.8214
    all   6260  588.7703
    all   6270  919.5322
    all   6280  1072.509
    all   6290  389.6695
    all   6300  790.1425
    all   6310  578.9357
    all   6320  55.63203
    all   6330  553.1008
    all   6340  735.6645
    all   6350  449.1376
    all   6360  1271.275
    all   6370  83.13146
    all   6380  722.0375
    all   6400  252.4361
    all   6410   448.468
    all   6420  532.6799
    all   6430  263.5189
    all   6450  89.21173
    all   6460  89.08929
    all   6470  54.72871
    all   6480   565.532
    all   6700  570.8828
    all   6710  711.7926
    all   6720  502.7924
    all   6740   112.894
    all   6750  22.63715
    all   6760  33.70654
    all   6770  285.9214
    all   6780  8.298211
    all   6800  32.60709
    all   6810  24.01212
    all   6910  481.3196
    all   6920  533.3279
    all   6930  390.0589
    all   6940  421.4907
    all   6950  347.2953
    all   7000  494.0702
    all   7010  834.0217
    all   7020  375.8229
    all   7030   794.058
    all   7040  573.1538
    all   7050  632.8624
    all   7060  709.8019
    all   7070  301.6068
    all   7080  160.2588
    all   7100  34.75415
    all   7110  87.58289
    all   7120  340.8144
    all   7130  632.0186
    all   7140  592.7324
    all   7150  388.0388
    all   7160  257.6914
    all   7170  104.2752
    all   7180  338.6661
    all   7190  481.7842
    all   7200  308.6037
    all   7210  379.0544
    all   7220  421.0534
    all   7230  437.0217
    all   7240  432.2621
    all   7250  201.2067
    all   7260  316.6364
    all   7270  703.3889
    all   7280  81.35245
    all   7290  284.3505
    all   7300  489.6203
    all   7320  443.0405
    all   7330  788.0343
    all   7340  276.0361
    all   7350   356.666
    all   7360  167.5339
    all   7370  203.9771
    all   7380  196.3962
    all   7390   658.063
    all   7400  279.6174
    all   7410  593.1675
    all   7420  815.5485
    all   7430   330.968
    all   7440  545.3973
    all   7450  457.5775
    all   7460  497.2574
    all   7470  369.9361
    all   7480  691.6787
    all   7490  168.0652
    all   7500  694.9171
    all   7510  280.7057
    all   7520  441.9792
    all   7530  231.7938
    all   7540  393.8249
    all   7550  783.7772
    all   7560  664.0682
    all   7570  765.1854
    all   7580  839.3877
    all   7590  484.8989
    all   7600  525.7216
    all   7610  673.2351
    all   7620  169.4505
    all   7630  580.6761
    all   7640  83.93776
    all   7650  485.9637
    all   7660  421.9738
    all   7670  603.1482
    all   7680  294.4503
    all   7690  273.8409
    all   7700  644.6923
    all   7710  121.1145
    all   7720   1175.22
    all   7730   304.751
    all   7740  268.5119
    all   7750  68.35551
    all   7760  911.8208
    all   7770  844.5706
    all   7780  584.4837
    all   7790  422.8008
    all   7800  4.215728
    all   7810  124.6616
    all   7820  27.53053
    all   7830  290.1061
    all   7840  588.5652
    all   7850  110.5481
    all   7860  469.0543
    all   7870  305.4057
    all   7880  29.05817
    all   7890  885.2178
    all   7900  1457.973
    all   7910  783.5269
    all   7920  525.9674
    all   7930  595.7811
    all   8000  253.7891
    all   8010  242.7254
    all   8020  280.1067
    all   8030  491.6135
    all   8040  178.4468
    all   8050  298.5893
    all   8060  634.0819
    all   8070   794.382
    all   8080  820.0801
    all   8090  370.0389
    all   8100  6.644382
    all   8110   493.948
    all   8120  383.2601
    all   8130  44.49995
    all   8140  118.7892
    all   8150  49.06279
    all   8160  39.62271
    all   8170  75.70948
    all   8180  53.09058
    all   8200  215.1493
    all   8210  1216.277
    all   8220  1454.968
    all   8300  .4477016
    all   8310  74.68101
    all   8320  1747.961
    all   8330  244.7375
    all   8340  182.0163
    all   8350  461.8496
    all   8360  471.3931
    all   8370  109.5206
    all   8400  838.7646
    all   8410  73.91942
    all   8420  419.4305
    all   8430  621.3411
    all   8440  133.6933
    all   8450  202.4623
    all   8460  79.34579
    all   8470  51.09077
    all   8480  85.41805
    all   8490  53.79457
    all   8500  33.32812
    all   8510  22.71152
    all   8520  159.5994
    all   8530  725.3658
    all   8540  386.2667
    all   8550  219.7439
    all   8560  313.8736
    all   8570  34.26662
    all   8590  86.48827
    all   8600  140.4395
    all   8610  142.5802
    all   8620  287.8253
    all   8630  148.5966
    all   8640  47.19521
    all   8650  185.8781
    all   8660  358.7249
    all   8670  336.3556
    all   8680  242.8158
    all   8690  234.9712
    all   8700  345.6107
    all   8710  39.52377
    all   8720  55.56842
    all   8730  90.19479
    all   8740  66.24984
    all   8750   111.637
    all   8760  53.26748
    all   8770   62.0596
    all   8780   62.0623
    all   8790  54.68639
    all   8800  116.6858
    all   8810  7.886086
    all   8820  26.72606
    all   8830  403.4546
    all   8840   554.181
    all   9000  212.4196
    all   9010  135.5637
    all   9020  105.5977
    all   9030   109.498
    all   9040  295.8059
    all   9060  855.9568
    all   9070  851.5492
    all   9080  583.9059
    all   9090  60.95082
    all   9100  385.3318
    all   9110  168.9426
    all   9120  317.1679
    all   9140   36.9007
    all   9150  408.6638
    all   9160  297.1811
    all   9170  178.7703
    all   9180  37.56767
    all   9190  1109.338
    all   9200  240.1317
    all   9300  393.2362
    all   9310  515.5804
    all   9320  150.8451
    all   9330  923.0826
    all   9340  600.3564
    all   9350  1128.178
    all   9360   272.649
    all   9370  688.1409
    all   9380  316.0915
    all   9390  1248.964
    all   9400   1522.85
    all   9410  996.4937
    all   9420  1506.861
    all   9430  271.3537
    all   9440  193.6043
    all   9450  5.784894
    all   9460  674.0084
    all   9470  973.9781
    all   9500  574.4399
    all   9510  905.7125
    all   9520  384.5757
    all   9530  261.2942
    all   9540  1281.556
    all   9550  109.2865
    all   9560  462.8828
    all   9570  198.8876
    all   9600  732.3796
    all   9610  461.9937
    all   9620  1599.487
    all   9630   1084.75
    all   9640   1252.17
    all   9650  1162.754
    all   9660  1937.154
    all   9670  773.9937
    all   9680  1339.236
    all   9690  320.2535
    all   9700  226.2248
    all   9710  53.49485
    all   9720  165.3219
    all   9730  139.7342
    all   9740  18.50423
    all   9800  925.4857
    all   9810  1283.718
a matrix=md25  HhMdIn   0.0 Household Medium Income                 
    all   1000  165.5847
    all   1010  509.1745
    all   1020   82.8766
    all   1030  101.0408
    all   1040  269.5766
    all   1050  574.5615
    all   1060  397.3613
    all   1070  402.6772
    all   1080  189.6597
    all   1090  719.2846
    all   1100  831.4007
    all   1110  195.4506
    all   1150  116.5214
    all   1200  682.1093
    all   1210  43.95822
    all   1220  1094.247
    all   1230   556.398
    all   1240  988.2896
    all   1250  1811.077
    all   1260  851.0718
    all   1270  528.9232
    all   1280  833.8314
    all   1290   96.4863
    all   1500  251.2658
    all   1510  764.2892
    all   1520  229.2757
    all   1530  279.3441
    all   1550   441.101
    all   1560  520.6357
    all   1570  635.5458
    all   1580   467.498
    all   1590  744.5309
