c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 224102  22410  22410     0      0      0      0
a 224102  22410 224101    -1      0      0      0
a 224102  22410 224203    -1      0      0      0
a 224102 224104  22410    -1      0      0      0
a 224102 224104 224101    -1      0      0      0
a 224102 224104 224203     0      0      0      0
a 224102 224105  22410    -1      0      0      0
a 224102 224105 224101    -1      0      0      0
a 224102 224105 224203    -1      0      0      0
a 224104 224404 224102    -1      0      0      0
a 224104 224404 225502    -1      0      0      0
a 224104 225701 224102    -1      0      0      0
a 224104 225701 225502     0      0      0      0
a 224105 223011 223011     0      0      0      0
a 224105 223011 224102     0      0      0      0
a 224105 223011 224103    -1      0      0      0
a 224105 223011 225502    -1      0      0      0
a 224105 225401 223011    -1      0      0      0
a 224105 225401 224102    -1      0      0      0
a 224105 225401 224103    -1      0      0      0
a 224105 225401 225502    -1      0      0      0
a 224105 225502 223011    -1      0      0      0
a 224105 225502 224102    -1      0      0      0
a 224105 225502 224103    -1      0      0      0
a 224105 225502 225502     0      0      0      0
a 224203 223304 223301    -1      0      0      0
a 224203 223304 223303    -1      0      0      0
a 224203 223304 224201    -1      0      0      0
a 224203 223304 224204    -1      0      0      0
a 224203 223304 224404    -1      0      0      0
a 224203 224102 223301    -1      0      0      0
a 224203 224102 223303    -1      0      0      0
a 224203 224102 224201    -1      0      0      0
a 224203 224102 224204    -1      0      0      0
a 224203 224102 224404    -1      0      0      0
a 224203 224201 223301     0      0      0      0
a 224203 224201 223303    -1      0      0      0
a 224203 224201 224201     0      0      0      0
a 224203 224201 224204    -1      0      0      0
a 224203 224201 224404    -1      0      0      0
a 224203 224202 223301    -1      0      0      0
a 224203 224202 223303    -1      0      0      0
a 224203 224202 224201    -1      0      0      0
a 224203 224202 224204    -1      0      0      0
a 224203 224202 224404    -1      0      0      0
a 224203 224404 223301    -1      0      0      0
a 224203 224404 223303    -1      0      0      0
a 224203 224404 224201    -1      0      0      0
a 224203 224404 224204    -1      0      0      0
a 224203 224404 224404     0      0      0      0
a 224402  22330  22330     0      0      0      0
a 224402  22330 223301    -1      0      0      0
a 224402  22330 224404    -1      0      0      0
a 224402  22330 224406    -1      0      0      0
a 224402 223301  22330    -1      0      0      0
a 224402 223301 223301     0      0      0      0
a 224402 223301 224404     0      0      0      0
a 224402 223301 224406    -1      0      0      0
a 224402 224401  22330    -1      0      0      0
a 224402 224401 223301    -1      0      0      0
a 224402 224401 224404    -1      0      0      0
a 224402 224401 224406    -1      0      0      0
a 224402 224406  22330    -1      0      0      0
a 224402 224406 223301    -1      0      0      0
a 224402 224406 224404     0      0      0      0
a 224402 224406 224406     0      0      0      0
a 224403 224401 224401     0      0      0      0
a 224403 224401 224406    -1      0      0      0
a 224403 224401 224407    -1      0      0      0
a 224403 224406 224401     0      0      0      0
a 224403 224406 224406     0      0      0      0
a 224403 224406 224407    -1      0      0      0
a 224403 224407 224401    -1      0      0      0
a 224403 224407 224406    -1      0      0      0
a 224403 224407 224407     0      0      0      0
a 224404  22420  22420     0      0      0      0
a 224404  22420 223304    -1      0      0      0
a 224404  22420 224104    -1      0      0      0
a 224404  22420 224203    -1      0      0      0
a 224404  22420 224301    -1      0      0      0
a 224404  22420 224408    -1      0      0      0
a 224404 224203  22420    -1      0      0      0
