c Modeller - Base Network Transaction
c Scenario 5060:  2050 Alt 4A
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a* 23100     490.24331289    5457.55492878       0       0       0 0000
a* 23110      492.2152488    5457.56524767       0       0       0 0000
a* 23120     492.55632571    5457.59558319       0       0       0 0000
a* 23130     484.56764807    5457.11236398       0       0       0 0000
a* 23140  485.87934225129 5457.27909910364       0       0       0 0000
a* 23150     486.77604247    5457.08963827       0       0       0 0000
a* 23160     487.41317453    5457.07323773       0       0       0 0000
a* 23170     488.14423799    5457.05537777       0       0       0 0000
a* 23180     488.70750951    5457.03864143       0       0       0 0000
a* 23190     489.13949365    5457.02722033       0       0       0 0000
a* 23200     489.66216837    5457.01354114       0       0       0 0000
a* 23210     489.67066784    5457.35179135       0       0       0 0000
a* 23220     490.19548867    5457.24599414       0       0       0 0000
a* 23230     490.87235616    5457.16580142       0       0       0 0000
a* 23240     491.46616816    5457.27972659       0       0       0 0000
a* 23250     491.83959969    5457.44373378       0       0       0 0000
a* 23260     492.21090015    5457.19272655       0       0       0 0000
a* 23270     492.52375263    5457.18628363       0       0       0 0000
a* 23280     490.09048779    5456.98820692       0       0       0 0000
a* 23290     490.53210868    5456.89933846       0       0       0 0000
a* 23300     491.03721257    5456.88353173       0       0       0 0000
a* 23310     491.46937758    5456.89518781       0       0       0 0000
a* 23320     491.85288051    5457.02155396       0       0       0 0000
a* 23330      492.3487319    5456.84099399       0       0       0 0000
a* 23340     486.77795018    5456.51266944       0       0       0 0000
a* 23350     488.32139063    5456.65611908       0       0       0 0000
a* 23360     489.12929245    5456.63448222       0       0       0 0000
a* 23370     489.65394165    5456.61948237       0       0       0 0000
a* 23380     490.09095489    5456.60793211       0       0       0 0000
a* 23390     490.52528647    5456.59685421       0       0       0 0000
a* 23400      491.0291786    5456.58367807       0       0       0 0000
a* 23410     491.45985448    5456.57152255       0       0       0 0000
a* 23420     491.83601083    5456.56193359       0       0       0 0000
a* 23430      492.3417969    5456.54858569       0       0       0 0000
a* 23440     484.66613684    5456.50004239       0       0       0 0000
a* 23450     485.32917243    5456.48354523       0       0       0 0000
a* 23460     486.11881063     5456.4626792       0       0       0 0000
a* 23470     487.40388832    5456.48347802       0       0       0 0000
a* 23480     488.30826246    5456.32453602       0       0       0 0000
a* 23490     489.12268934    5456.27098153       0       0       0 0000
a* 23500     489.64316714    5456.25723175       0       0       0 0000
a* 23510     490.07734039    5456.26582647       0       0       0 0000
a* 23520     490.51951078    5456.24615977       0       0       0 0000
a* 23530     491.01301519    5456.23270181       0       0       0 0000
a* 23540      491.4479923    5456.22116655       0       0       0 0000
a* 23550     491.82833214    5456.20828685       0       0       0 0000
a* 23560     492.33325706    5456.19370791       0       0       0 0000
a* 23570     488.31449529    5455.88073622       0       0       0 0000
a* 23580     491.18000746    5455.82553454       0       0       0 0000
a* 23590     491.81548545    5455.79551871       0       0       0 0000
a* 23600     492.33249564    5455.77663587       0       0       0 0000
a* 23610     486.31554101    5455.50135288       0       0       0 0000
a* 23620     486.77478664    5455.70663012       0       0       0 0000
a* 23630     487.40195974    5455.63873684       0       0       0 0000
a* 23640     489.38758112    5455.63354121       0       0       0 0000
a* 23650     490.30843296    5455.64093265       0       0       0 0000
a* 23660     485.69175332    5455.49501704       0       0       0 0000
a* 23670     488.27070748    5455.38189546       0       0       0 0000
a* 23680     491.16781678    5455.39164563       0       0       0 0000
a* 23690     491.80352494    5455.36159972       0       0       0 0000
a* 23700     492.32575436    5455.34374617       0       0       0 0000
a* 23710     486.75943039    5454.84278996       0       0       0 0000
a* 23720     487.30083974    5454.83641295       0       0       0 0000
a* 23730     487.92838477    5454.80357097       0       0       0 0000
a* 23740     488.52258734     5454.8879667       0       0       0 0000
a* 23750     489.11319537    5454.85955667       0       0       0 0000
a* 23760     489.62445234    5454.78584469       0       0       0 0000
a* 23770     490.28958843    5454.75473983       0       0       0 0000
a* 23780      491.3655578     5454.9399401       0       0       0 0000
a* 23790     492.00949673    5454.74079354       0       0       0 0000
a* 23800     490.96631454    5454.56102885       0       0       0 0000
a* 23810     492.48650869    5454.66197983       0       0       0 0000
a* 24010      485.8546811    5454.20172661       0       0       0 0000
a* 24020      486.3088649    5454.20632811       0       0       0 0000
a* 24030     491.89207165    5453.68048599       0       0       0 0000
a* 24040     486.75344886    5453.99253494       0       0       0 0000
a* 24050     487.30033559    5453.98821344       0       0       0 0000
a* 24060     487.88836211    5453.98450763       0       0       0 0000
a* 24070     488.46251927    5453.97803869       0       0       0 0000
a* 24080     489.03272884    5453.96344062       0       0       0 0000
a* 24090     489.57041523    5453.92801824       0       0       0 0000
a* 24100       490.223783    5453.81438256       0       0       0 0000
a* 24110     490.94753982    5453.87661699       0       0       0 0000
a* 24120     491.37650235    5453.83367304       0       0       0 0000
a* 24130     492.46129767    5453.78801473       0       0       0 0000
a* 24140     486.36999526    5452.93978001       0       0       0 0000
a* 24150     486.43003909    5453.34192218       0       0       0 0000
a* 24160     487.30276037    5453.19587777       0       0       0 0000
a* 24170     487.84288604    5453.14366179       0       0       0 0000
a* 24180     488.41140644    5453.13768586       0       0       0 0000
a* 24190     488.95315471     5453.1283608       0       0       0 0000
a* 24200     489.53380883    5453.11305532       0       0       0 0000
a* 24210     490.24826859    5453.08220649       0       0       0 0000
a* 24220     491.28700763    5453.24218416       0       0       0 0000
a* 24230     492.07790243    5453.19221786       0       0       0 0000
a* 24240     491.06344284    5452.99764673       0       0       0 0000
a* 24250     492.06841128    5452.77593669       0       0       0 0000
a* 24260       488.545903     5452.2722661       0       0       0 0000
a* 24270     488.99127026    5452.33123497       0       0       0 0000
a* 24280     489.51244036    5452.27912493       0       0       0 0000
a* 24290     490.22591639    5452.26041591       0       0       0 0000
a* 24300     486.96367438    5452.21835722       0       0       0 0000
a* 24310     491.07974875    5452.22690763       0       0       0 0000
a* 24320     492.21356179    5452.24345997       0       0       0 0000
a* 24330      489.1371392     5450.5082276       0       0       0 0000
a* 24340     488.87159499    5451.39642267       0       0       0 0000
a* 24350     489.44133629    5451.52086989       0       0       0 0000
a* 24360     490.19275512    5451.49913038       0       0       0 0000
a* 24370      491.0187709    5451.48197947       0       0       0 0000
a* 24380     491.86140747    5451.29707804       0       0       0 0000
a* 24390     492.41217426    5451.31430157       0       0       0 0000
a* 24400     489.47475104    5450.91228001       0       0       0 0000
a* 24410     490.14405384    5450.89954922       0       0       0 0000
